,date,county,state,temp_max(C),precip_sum(mm),wind_max(km/h),min_humidity(%),max_humidity(%),mean_humidity(%)
3000,2020-03-13,camden,new jersey,14.5,9.4,25.2,31,97,70.0
3001,2020-03-14,camden,new jersey,9.5,0.5,18.4,31,59,39.0
3002,2020-03-15,camden,new jersey,7.8,2.3,10.9,32,91,63.0
3003,2020-03-16,camden,new jersey,5.4,0.0,16.8,47,79,60.0
3004,2020-03-17,camden,new jersey,8.3,3.1,17.9,61,93,77.0
3005,2020-03-18,camden,new jersey,8.5,0.0,15.9,37,85,61.0
3006,2020-03-19,camden,new jersey,10.5,20.5,13.6,73,98,87.0
3007,2020-03-20,camden,new jersey,18.2,1.0,29.5,59,98,78.0
3008,2020-03-21,camden,new jersey,10.4,0.0,21.1,35,63,47.0
3009,2020-03-22,camden,new jersey,4.4,0.0,17.9,37,68,53.0
3010,2020-03-23,camden,new jersey,5.0,20.2,22.1,68,99,88.0
3011,2020-03-24,camden,new jersey,7.7,0.0,16.3,46,94,73.0
3012,2020-03-25,camden,new jersey,6.6,3.5,24.6,66,93,82.0
3013,2020-03-26,camden,new jersey,8.0,0.0,14.3,52,95,73.0
3014,2020-03-27,camden,new jersey,12.9,0.6,13.7,41,93,69.0
3015,2020-03-28,camden,new jersey,9.4,9.1,16.7,57,95,84.0
3016,2020-03-29,camden,new jersey,11.8,1.3,14.5,77,98,91.0
3017,2020-03-30,camden,new jersey,12.0,4.4,14.8,40,100,80.0
3018,2020-03-31,camden,new jersey,7.5,0.8,14.1,64,93,77.0
3019,2020-04-01,camden,new jersey,7.8,0.0,19.4,38,80,58.0
3020,2020-04-02,camden,new jersey,8.7,0.0,30.6,33,57,44.0
3021,2020-04-03,camden,new jersey,9.8,1.8,27.3,41,81,59.0
3022,2020-04-04,camden,new jersey,9.9,0.0,14.9,63,91,78.0
3023,2020-04-05,camden,new jersey,12.8,0.0,12.5,48,90,72.0
3024,2020-04-06,camden,new jersey,12.7,1.2,12.3,30,94,61.0
3025,2020-04-07,camden,new jersey,13.5,0.8,13.0,48,93,66.0
3026,2020-04-08,camden,new jersey,16.5,10.2,18.1,46,97,74.0
3027,2020-04-09,camden,new jersey,12.1,5.0,37.5,30,95,68.0
3028,2020-04-10,camden,new jersey,7.4,0.2,34.6,33,51,42.0
3029,2020-04-11,camden,new jersey,7.4,0.0,23.3,30,61,43.0
3030,2020-04-12,camden,new jersey,11.4,0.1,23.1,39,88,64.0
3031,2020-04-13,camden,new jersey,16.1,54.9,41.3,52,92,83.0
3032,2020-04-14,camden,new jersey,10.5,1.5,23.0,39,61,50.0
3033,2020-04-15,camden,new jersey,7.3,5.4,20.0,25,92,56.0
3034,2020-04-16,camden,new jersey,6.9,0.2,25.1,31,66,47.0
3035,2020-04-17,camden,new jersey,6.2,1.9,19.1,38,83,60.0
3036,2020-04-18,camden,new jersey,8.3,4.5,23.9,40,97,74.0
3037,2020-04-19,camden,new jersey,9.4,0.0,23.5,37,85,60.0
3038,2020-04-20,camden,new jersey,10.6,0.0,17.9,40,86,64.0
3039,2020-04-21,camden,new jersey,10.7,7.7,27.8,30,95,67.0
3040,2020-04-22,camden,new jersey,6.8,0.0,28.6,24,50,36.0
3041,2020-04-23,camden,new jersey,8.3,3.5,11.5,44,94,62.0
3042,2020-04-24,camden,new jersey,8.5,20.9,17.0,86,98,94.0
3043,2020-04-25,camden,new jersey,11.3,0.1,15.4,48,99,75.0
3044,2020-04-26,camden,new jersey,9.2,7.8,20.7,80,96,92.0
3045,2020-04-27,camden,new jersey,8.2,0.0,18.8,55,92,70.0
3046,2020-04-28,camden,new jersey,10.7,0.0,12.9,37,83,62.0
3047,2020-04-29,camden,new jersey,13.1,0.0,25.3,50,92,71.0
3048,2020-04-30,camden,new jersey,16.4,25.3,40.4,76,97,85.0
3049,2020-05-01,camden,new jersey,15.9,6.1,17.1,61,99,80.0
3050,2020-05-02,camden,new jersey,16.0,0.0,20.1,35,74,53.0
3051,2020-05-03,camden,new jersey,18.9,2.0,16.6,50,90,67.0
3052,2020-05-04,camden,new jersey,16.9,2.6,28.0,40,93,63.0
3053,2020-05-05,camden,new jersey,11.9,0.2,14.1,37,65,50.0
3054,2020-05-06,camden,new jersey,9.5,3.1,13.5,67,90,77.0
3055,2020-05-07,camden,new jersey,11.8,0.0,20.7,26,92,56.0
3056,2020-05-08,camden,new jersey,11.4,7.3,25.9,51,93,71.0
3057,2020-05-09,camden,new jersey,5.5,1.2,29.9,31,91,48.0
3058,2020-05-10,camden,new jersey,9.9,0.0,22.4,35,58,45.0
3059,2020-05-11,camden,new jersey,11.4,3.2,27.2,47,83,66.0
3060,2020-05-12,camden,new jersey,10.2,0.0,25.0,29,62,47.0
3061,2020-05-13,camden,new jersey,11.2,0.0,14.2,32,79,52.0
3062,2020-05-14,camden,new jersey,14.2,0.0,19.4,44,92,68.0
3063,2020-05-15,camden,new jersey,21.6,0.0,22.7,51,82,67.0
3064,2020-05-16,camden,new jersey,20.8,0.5,23.8,44,86,63.0
3065,2020-05-17,camden,new jersey,15.9,0.5,15.5,49,91,69.0
3066,2020-05-18,camden,new jersey,14.3,0.5,21.5,53,85,68.0
3067,2020-05-19,camden,new jersey,14.1,0.0,30.3,36,75,53.0
3068,2020-05-20,camden,new jersey,11.8,0.0,22.7,43,74,53.0
3069,2020-05-21,camden,new jersey,13.6,0.0,12.7,54,94,74.0
3070,2020-05-22,camden,new jersey,16.4,8.2,12.4,78,99,90.0
3071,2020-05-23,camden,new jersey,18.9,5.9,17.3,74,100,90.0
3072,2020-05-24,camden,new jersey,15.7,0.0,16.0,61,82,72.0
3073,2020-05-25,camden,new jersey,17.9,0.0,8.8,59,93,76.0
3074,2020-05-26,camden,new jersey,19.7,0.0,12.3,53,100,81.0
3075,2020-05-27,camden,new jersey,19.8,0.3,13.6,62,99,86.0
3076,2020-05-28,camden,new jersey,20.7,2.6,24.4,78,99,93.0
3077,2020-05-29,camden,new jersey,23.6,3.0,20.4,71,98,88.0
3078,2020-05-30,camden,new jersey,22.9,0.0,14.6,34,97,66.0
3079,2020-05-31,camden,new jersey,18.0,0.0,19.7,30,60,46.0
3080,2020-06-01,camden,new jersey,15.9,0.0,19.5,34,75,48.0
3081,2020-06-02,camden,new jersey,18.2,0.5,14.1,35,71,55.0
3082,2020-06-03,camden,new jersey,24.4,0.8,21.5,48,78,62.0
3083,2020-06-04,camden,new jersey,25.7,0.0,13.4,40,94,66.0
3084,2020-06-05,camden,new jersey,24.5,8.4,14.5,64,97,82.0
3085,2020-06-06,camden,new jersey,25.3,2.6,19.9,40,98,71.0
3086,2020-06-07,camden,new jersey,21.4,0.0,19.8,35,68,51.0
3087,2020-06-08,camden,new jersey,20.0,0.0,11.6,35,73,53.0
3088,2020-06-09,camden,new jersey,23.3,0.0,16.5,38,85,61.0
3089,2020-06-10,camden,new jersey,26.1,1.1,22.4,59,93,76.0
3090,2020-06-11,camden,new jersey,25.0,5.5,21.8,71,92,83.0
3091,2020-06-12,camden,new jersey,24.5,0.0,14.2,31,91,53.0
3092,2020-06-13,camden,new jersey,20.4,0.0,16.1,33,60,46.0
3093,2020-06-14,camden,new jersey,18.9,0.0,14.7,35,59,47.0
3094,2020-06-15,camden,new jersey,19.1,0.0,16.2,39,83,59.0
3095,2020-06-16,camden,new jersey,19.5,0.0,18.4,38,82,58.0
3096,2020-06-17,camden,new jersey,19.2,0.5,18.0,65,90,77.0
3097,2020-06-18,camden,new jersey,21.0,5.9,12.2,56,98,84.0
3098,2020-06-19,camden,new jersey,22.7,0.6,13.0,49,97,76.0
3099,2020-06-20,camden,new jersey,23.2,9.3,11.6,59,98,81.0
3100,2020-06-21,camden,new jersey,24.0,1.1,9.2,56,100,78.0
3101,2020-06-22,camden,new jersey,25.9,0.1,13.3,50,96,74.0
3102,2020-06-23,camden,new jersey,26.4,0.2,15.5,51,95,74.0
3103,2020-06-24,camden,new jersey,25.6,6.3,19.9,33,94,60.0
3104,2020-06-25,camden,new jersey,24.1,1.0,11.4,38,88,64.0
3105,2020-06-26,camden,new jersey,24.7,0.0,18.5,30,96,61.0
3106,2020-06-27,camden,new jersey,25.5,7.0,24.3,46,86,69.0
