time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-10-14,15.4,0.00,22.6
2020-10-15,17.4,0.00,33.1
2020-10-16,15.4,25.70,23.7
2020-10-17,11.7,11.20,30.0
2020-10-18,13.6,0.00,21.7
2020-10-19,15.7,0.00,15.5
2020-10-20,17.6,1.40,15.1
2020-10-21,17.4,0.00,13.1
2020-10-22,18.2,0.00,9.1
2020-10-23,17.5,0.00,11.4
2020-10-24,17.0,0.00,23.5
2020-10-25,10.8,0.30,24.9
2020-10-26,14.8,0.60,27.8
2020-10-27,14.1,1.30,17.5
2020-10-28,14.0,9.70,13.4
2020-10-29,12.3,34.50,42.7
2020-10-30,6.6,20.10,39.1
2020-10-31,6.0,0.00,19.7
2020-11-01,11.2,19.00,37.6
2020-11-02,5.9,0.00,43.2
2020-11-03,8.5,0.00,36.2
2020-11-04,11.8,0.00,24.9
2020-11-05,13.9,0.00,20.8
2020-11-06,14.5,0.00,18.6
2020-11-07,14.9,0.00,15.4
2020-11-08,14.7,0.00,12.6
2020-11-09,13.9,0.00,12.2
2020-11-10,15.6,0.00,19.3
2020-11-11,17.6,19.80,26.3
2020-11-12,13.9,21.10,26.3
2020-11-13,11.0,2.90,20.5
2020-11-14,8.8,0.00,22.3
2020-11-15,11.4,8.40,51.3
2020-11-16,9.8,0.20,33.9
2020-11-17,6.6,0.50,32.1
2020-11-18,2.0,0.00,31.7
2020-11-19,3.6,0.00,28.8
2020-11-20,10.0,0.00,28.3
2020-11-21,11.5,0.00,20.5
2020-11-22,10.1,0.30,27.7
2020-11-23,10.8,20.40,34.7
2020-11-24,6.2,0.00,25.6
2020-11-25,10.0,0.20,20.2
2020-11-26,14.0,12.20,32.4
2020-11-27,11.3,0.00,14.0
2020-11-28,9.7,0.00,17.6
2020-11-29,7.9,0.00,15.4
2020-11-30,13.3,38.40,53.5
2020-12-01,10.4,0.40,34.6
2020-12-02,4.7,0.10,33.3
2020-12-03,5.6,0.20,24.0
2020-12-04,8.4,3.10,25.9
2020-12-05,6.5,38.70,38.2
2020-12-06,3.2,0.00,31.9
2020-12-07,2.1,0.10,22.3
2020-12-08,1.3,0.00,24.5
2020-12-09,2.0,0.00,24.5
2020-12-10,5.1,0.00,24.6
2020-12-11,7.0,0.00,20.6
2020-12-12,9.8,8.80,21.7
2020-12-13,11.0,1.10,22.0
2020-12-14,4.2,8.90,24.1
2020-12-15,2.0,0.00,26.2
2020-12-16,0.6,13.00,47.4
2020-12-17,-0.5,23.50,49.0
2020-12-18,-2.9,0.00,22.3
2020-12-19,-2.9,0.00,17.3
2020-12-20,1.0,1.50,14.6
2020-12-21,2.6,0.00,17.4
2020-12-22,3.5,0.30,25.6
2020-12-23,3.0,0.00,23.7
2020-12-24,11.3,3.90,45.6
2020-12-25,10.0,46.30,55.7
2020-12-26,-1.4,0.00,34.1
2020-12-27,-0.3,0.00,24.0
2020-12-28,6.0,0.00,24.0
2020-12-29,2.1,0.00,32.2
2020-12-30,1.8,0.00,27.3
2020-12-31,6.5,8.30,32.1
