time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-08-05,28.0,4.20,9.9
2020-08-06,27.0,17.20,10.2
2020-08-07,27.2,3.60,10.6
2020-08-08,28.0,0.00,7.2
2020-08-09,27.8,4.70,10.6
2020-08-10,28.0,1.90,10.5
2020-08-11,27.4,0.60,9.7
2020-08-12,27.2,10.70,10.8
2020-08-13,27.7,2.40,10.2
2020-08-14,27.9,2.60,12.0
2020-08-15,27.5,4.90,12.3
2020-08-16,27.9,3.00,11.3
2020-08-17,27.0,5.80,7.9
2020-08-18,26.6,7.10,12.3
2020-08-19,26.4,8.20,10.6
2020-08-20,25.9,4.60,12.1
2020-08-21,26.0,2.30,12.0
2020-08-22,25.7,2.90,12.1
2020-08-23,26.8,4.30,15.4
2020-08-24,27.6,6.00,17.4
2020-08-25,28.7,1.80,15.1
2020-08-26,28.5,0.00,14.8
2020-08-27,28.1,2.40,16.0
2020-08-28,28.3,0.00,11.0
2020-08-29,27.0,6.50,18.7
2020-08-30,26.3,5.20,14.5
2020-08-31,26.4,10.90,11.5
2020-09-01,27.5,5.80,12.3
2020-09-02,27.8,5.20,9.8
2020-09-03,28.8,2.00,11.2
2020-09-04,29.0,1.50,8.0
2020-09-05,29.3,0.00,9.7
2020-09-06,27.1,6.00,15.8
2020-09-07,25.5,6.70,12.6
2020-09-08,25.1,10.40,16.0
2020-09-09,26.2,4.60,10.1
2020-09-10,26.4,8.20,13.7
2020-09-11,26.4,9.40,14.2
2020-09-12,26.6,7.20,21.4
2020-09-13,26.4,9.80,18.0
2020-09-14,27.2,0.40,13.6
2020-09-15,26.2,2.60,12.9
2020-09-16,25.9,16.90,15.9
2020-09-17,26.4,4.00,23.2
2020-09-18,26.0,0.10,17.2
2020-09-19,24.1,6.60,23.1
2020-09-20,23.7,1.20,28.8
2020-09-21,23.7,0.10,29.6
2020-09-22,22.9,0.20,22.0
2020-09-23,22.4,0.00,9.7
2020-09-24,24.8,0.10,14.8
2020-09-25,27.1,0.00,14.7
2020-09-26,26.5,0.50,8.3
2020-09-27,24.9,16.40,11.0
2020-09-28,24.5,30.40,12.8
2020-09-29,22.8,16.00,21.4
2020-09-30,19.4,0.00,12.9
2020-10-01,20.8,0.00,7.6
2020-10-02,20.7,0.00,12.7
2020-10-03,20.8,0.10,20.4
2020-10-04,21.0,6.20,14.8
2020-10-05,21.9,1.90,17.9
2020-10-06,24.4,1.70,13.0
2020-10-07,24.6,0.40,10.0
2020-10-08,25.2,5.70,11.3
2020-10-09,24.9,4.50,14.5
2020-10-10,25.5,9.00,15.8
2020-10-11,26.0,0.40,14.9
2020-10-12,24.9,0.30,14.1
2020-10-13,24.6,0.00,9.5
2020-10-14,24.7,1.00,12.8
2020-10-15,25.0,0.50,8.0
2020-10-16,24.7,0.00,12.9
2020-10-17,21.4,0.00,19.4
2020-10-18,23.5,1.10,22.1
2020-10-19,24.2,2.30,22.2
2020-10-20,24.2,1.60,16.8
2020-10-21,23.9,1.90,15.3
2020-10-22,23.6,3.60,16.7
2020-10-23,24.1,1.60,13.7
2020-10-24,24.2,0.00,11.0
2020-10-25,24.2,1.30,9.4
2020-10-26,24.1,0.20,16.5
2020-10-27,24.9,1.20,17.7
2020-10-28,25.9,0.40,15.4
2020-10-29,26.4,0.00,26.1
2020-10-30,19.3,0.00,21.3
2020-10-31,21.8,0.20,17.3
2020-11-01,22.3,2.70,14.3
2020-11-02,15.5,0.00,21.7
2020-11-03,14.4,0.00,10.2
2020-11-04,17.8,0.00,15.9
2020-11-05,20.7,0.70,18.3
2020-11-06,21.1,1.00,18.9
2020-11-07,22.6,1.00,25.1
2020-11-08,23.4,1.60,26.2
2020-11-09,23.5,4.20,28.0
2020-11-10,24.0,4.60,20.2
2020-11-11,24.6,8.40,22.5
2020-11-12,24.4,3.50,25.5
2020-11-13,23.3,0.00,9.6
2020-11-14,21.4,0.00,10.5
2020-11-15,23.0,1.40,12.7
2020-11-16,19.8,0.00,14.5
2020-11-17,15.6,0.00,14.1
2020-11-18,14.3,0.00,24.5
2020-11-19,17.3,0.00,19.2
2020-11-20,19.7,0.10,17.9
2020-11-21,19.9,0.80,21.4
2020-11-22,20.0,8.10,12.1
2020-11-23,18.6,5.30,12.1
2020-11-24,18.3,0.00,16.3
2020-11-25,20.9,0.00,12.1
2020-11-26,21.3,0.00,10.4
2020-11-27,20.6,0.70,6.5
2020-11-28,19.3,1.30,16.6
2020-11-29,19.2,0.40,13.4
2020-11-30,17.7,1.80,26.7
2020-12-01,7.6,0.00,21.9
2020-12-02,6.3,0.00,10.0
2020-12-03,12.7,0.00,12.0
2020-12-04,17.2,8.00,15.1
2020-12-05,13.4,1.20,16.3
2020-12-06,12.7,0.00,6.9
2020-12-07,13.1,1.40,21.4
2020-12-08,8.2,0.00,16.6
2020-12-09,8.4,0.00,13.5
2020-12-10,12.7,0.00,11.3
2020-12-11,13.5,0.00,8.4
2020-12-12,15.1,0.50,8.6
2020-12-13,17.5,0.00,10.0
2020-12-14,19.1,0.20,24.2
2020-12-15,15.6,0.00,15.8
2020-12-16,14.1,10.30,19.6
2020-12-17,10.5,0.50,15.6
2020-12-18,7.0,0.00,13.2
2020-12-19,11.8,0.00,13.2
2020-12-20,15.6,4.60,12.1
2020-12-21,15.1,0.70,13.7
2020-12-22,12.1,0.00,9.8
2020-12-23,14.3,0.00,12.0
2020-12-24,17.2,9.30,29.2
2020-12-25,5.6,1.40,24.6
2020-12-26,4.2,0.00,9.4
2020-12-27,7.9,0.00,8.8
2020-12-28,12.0,0.00,9.4
2020-12-29,12.6,0.00,13.2
2020-12-30,16.8,0.70,17.2
2020-12-31,19.4,0.00,17.9
