time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-09-02,27.0,0.00,13.7
2020-09-03,26.9,0.00,14.3
2020-09-04,27.0,0.00,14.9
2020-09-05,25.8,0.00,12.8
2020-09-06,23.7,0.00,13.7
2020-09-07,22.9,0.00,9.7
2020-09-08,24.1,0.00,12.7
2020-09-09,24.5,0.00,19.9
2020-09-10,24.9,4.00,15.0
2020-09-11,26.0,5.80,11.1
2020-09-12,25.0,5.10,15.1
2020-09-13,25.0,0.30,14.5
2020-09-14,25.2,5.70,11.3
2020-09-15,22.6,0.10,24.9
2020-09-16,18.9,32.70,26.2
2020-09-17,20.8,98.30,37.0
2020-09-18,23.2,0.00,13.6
2020-09-19,20.1,0.40,17.5
2020-09-20,17.0,0.00,20.6
2020-09-21,16.1,0.00,24.0
2020-09-22,15.9,0.00,13.4
2020-09-23,18.3,0.10,6.6
2020-09-24,18.2,29.60,21.3
2020-09-25,21.7,8.80,15.8
2020-09-26,21.9,0.90,6.4
2020-09-27,21.7,2.90,16.2
2020-09-28,22.6,0.30,12.2
2020-09-29,16.8,8.60,19.2
2020-09-30,15.9,0.00,12.1
2020-10-01,17.9,0.00,18.5
2020-10-02,15.4,0.00,15.0
2020-10-03,14.5,0.00,11.2
2020-10-04,15.6,0.00,9.3
2020-10-05,17.1,0.00,8.9
2020-10-06,18.2,0.00,9.6
2020-10-07,20.5,0.00,10.8
2020-10-08,20.4,0.00,8.7
2020-10-09,20.3,1.30,16.9
2020-10-10,21.3,20.50,20.9
2020-10-11,21.7,7.90,19.6
2020-10-12,21.7,0.40,15.0
2020-10-13,21.1,0.00,16.8
2020-10-14,18.8,0.00,13.3
2020-10-15,20.7,0.20,14.9
2020-10-16,16.7,0.00,21.4
2020-10-17,13.2,0.00,16.9
2020-10-18,14.8,0.00,14.1
2020-10-19,17.0,0.00,12.1
2020-10-20,18.6,0.00,10.9
2020-10-21,20.1,0.20,14.0
2020-10-22,20.6,0.40,15.1
2020-10-23,21.1,0.10,10.4
2020-10-24,19.6,21.30,11.4
2020-10-25,20.4,13.50,10.7
2020-10-26,19.2,0.00,10.8
2020-10-27,20.2,0.30,8.4
2020-10-28,21.6,13.50,16.6
2020-10-29,22.1,15.10,49.7
2020-10-30,13.5,0.00,23.7
2020-10-31,12.9,0.00,19.0
2020-11-01,15.2,1.00,28.1
2020-11-02,8.7,0.00,28.2
2020-11-03,9.7,0.00,13.6
2020-11-04,11.4,0.00,9.7
2020-11-05,13.1,0.00,11.2
2020-11-06,16.6,0.00,13.0
2020-11-07,18.3,0.00,21.6
