time,temperature_2m_mean (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2020-11-28,6.1,0.00,10.7
2020-11-29,5.3,0.00,11.2
2020-11-30,6.9,39.30,15.3
2020-12-01,1.7,0.10,21.2
2020-12-02,1.0,0.00,15.8
2020-12-03,2.3,0.00,8.7
2020-12-04,5.2,11.40,9.4
2020-12-05,4.6,7.80,19.6
2020-12-06,1.7,0.00,8.9
2020-12-07,0.1,0.10,16.4
2020-12-08,-0.5,0.00,18.8
2020-12-09,1.5,0.00,11.2
2020-12-10,3.5,0.00,9.4
2020-12-11,6.5,0.00,10.7
2020-12-12,9.2,0.00,14.3
2020-12-13,9.7,0.00,11.8
2020-12-14,2.3,26.60,18.5
2020-12-15,-1.3,0.00,13.4
2020-12-16,-2.4,24.40,12.3
2020-12-17,-1.8,0.40,10.3
2020-12-18,-2.2,0.00,14.5
2020-12-19,-3.5,0.00,9.5
2020-12-20,1.0,0.00,9.1
2020-12-21,2.5,0.50,10.8
2020-12-22,2.1,0.00,26.6
2020-12-23,1.3,0.00,16.7
2020-12-24,7.5,35.60,16.5
2020-12-25,-3.4,6.70,18.5
2020-12-26,-5.9,0.00,13.1
2020-12-27,-1.7,0.00,12.3
2020-12-28,3.9,0.00,13.7
2020-12-29,0.6,0.00,11.8
2020-12-30,0.8,0.00,17.0
2020-12-31,5.7,2.80,16.9
