,date,county,state,total_cases,new_cases,future_delta7,future_delta14
1768,2020-07-19,duval,florida,16546,643,3207,5119
1769,2020-07-20,duval,florida,17245,699,2756,4585
1770,2020-07-21,duval,florida,17544,299,2594,4490
1771,2020-07-22,duval,florida,17979,435,2419,4236
1772,2020-07-23,duval,florida,18357,378,2459,4211
1773,2020-07-24,duval,florida,18781,424,2257,4108
1774,2020-07-25,duval,florida,19288,507,2034,3878
1775,2020-07-26,duval,florida,19753,465,1912,3684
1776,2020-07-27,duval,florida,20001,248,1829,3529
1777,2020-07-28,duval,florida,20138,137,1896,3603
1778,2020-07-29,duval,florida,20398,260,1817,3574
1779,2020-07-30,duval,florida,20816,418,1752,3346
1780,2020-07-31,duval,florida,21038,222,1851,3262
1781,2020-08-01,duval,florida,21322,284,1844,3187
1782,2020-08-02,duval,florida,21665,343,1772,2964
1783,2020-08-03,duval,florida,21830,165,1700,2901
1784,2020-08-04,duval,florida,22034,204,1707,2802
1785,2020-08-05,duval,florida,22215,181,1757,2751
1786,2020-08-06,duval,florida,22568,353,1594,2549
1787,2020-08-07,duval,florida,22889,321,1411,2427
1788,2020-08-08,duval,florida,23166,277,1343,2288
1789,2020-08-09,duval,florida,23437,271,1192,2121
1790,2020-08-10,duval,florida,23530,93,1201,2128
1791,2020-08-11,duval,florida,23741,211,1095,1991
1792,2020-08-12,duval,florida,23972,231,994,1907
1793,2020-08-13,duval,florida,24162,190,955,1855
1794,2020-08-14,duval,florida,24300,138,1016,1869
1795,2020-08-15,duval,florida,24509,209,945,1775
1796,2020-08-16,duval,florida,24629,120,929,1762
1797,2020-08-17,duval,florida,24731,102,927,1729
1798,2020-08-18,duval,florida,24836,105,896,1847
1799,2020-08-19,duval,florida,24966,130,913,1841
1800,2020-08-20,duval,florida,25117,151,900,2124
1801,2020-08-21,duval,florida,25316,199,853,2089
1802,2020-08-22,duval,florida,25454,138,830,2090
1803,2020-08-23,duval,florida,25558,104,833,2077
1804,2020-08-24,duval,florida,25658,100,802,2076
1805,2020-08-25,duval,florida,25732,74,951,2070
1806,2020-08-26,duval,florida,25879,147,928,2007
1807,2020-08-27,duval,florida,26017,138,1224,2034
1808,2020-08-28,duval,florida,26169,152,1236,2061
1809,2020-08-29,duval,florida,26284,115,1260,2086
1810,2020-08-30,duval,florida,26391,107,1244,2067
1811,2020-08-31,duval,florida,26460,69,1274,2065
1812,2020-09-01,duval,florida,26683,223,1119,1949
1813,2020-09-02,duval,florida,26807,124,1079,1949
1814,2020-09-03,duval,florida,27241,434,810,1635
1815,2020-09-04,duval,florida,27405,164,825,1651
1816,2020-09-05,duval,florida,27544,139,826,1697
1817,2020-09-06,duval,florida,27635,91,823,1746
1818,2020-09-07,duval,florida,27734,99,791,1715
1819,2020-09-08,duval,florida,27802,68,830,1778
1820,2020-09-09,duval,florida,27886,84,870,1831
1821,2020-09-10,duval,florida,28051,165,825,1794
1822,2020-09-11,duval,florida,28230,179,826,1735
1823,2020-09-12,duval,florida,28370,140,871,1744
1824,2020-09-13,duval,florida,28458,88,923,1749
1825,2020-09-14,duval,florida,28525,67,924,1739
1826,2020-09-15,duval,florida,28632,107,948,1786
1827,2020-09-16,duval,florida,28756,124,961,1792
1828,2020-09-17,duval,florida,28876,120,969,1790
1829,2020-09-18,duval,florida,29056,180,909,1731
1830,2020-09-19,duval,florida,29241,185,873,1673
1831,2020-09-20,duval,florida,29381,140,826,1604
1832,2020-09-21,duval,florida,29449,68,815,1607
1833,2020-09-22,duval,florida,29580,131,838,1615
1834,2020-09-23,duval,florida,29717,137,831,1666
1835,2020-09-24,duval,florida,29845,128,821,1655
1836,2020-09-25,duval,florida,29965,120,822,1704
1837,2020-09-26,duval,florida,30114,149,800,1555
1838,2020-09-27,duval,florida,30207,93,778,1749
1839,2020-09-28,duval,florida,30264,57,792,1763
1840,2020-09-29,duval,florida,30418,154,777,1720
1841,2020-09-30,duval,florida,30548,130,835,1763
1842,2020-10-01,duval,florida,30666,118,834,1823
1843,2020-10-02,duval,florida,30787,121,882,1838
1844,2020-10-03,duval,florida,30914,127,755,1858
1845,2020-10-04,duval,florida,30985,71,971,1902
1846,2020-10-05,duval,florida,31056,71,971,1895
1847,2020-10-06,duval,florida,31195,139,943,1937
1848,2020-10-07,duval,florida,31383,188,928,1877
1849,2020-10-08,duval,florida,31500,117,989,2176
1850,2020-10-09,duval,florida,31669,169,956,2277
1851,2020-10-10,duval,florida,31669,0,1103,2508
1852,2020-10-11,duval,florida,31956,287,931,2304
1853,2020-10-12,duval,florida,32027,71,924,2435
1854,2020-10-13,duval,florida,32138,111,994,2481
1855,2020-10-14,duval,florida,32311,173,949,2416
1856,2020-10-15,duval,florida,32489,178,1187,2474
1857,2020-10-16,duval,florida,32625,136,1321,2546
1858,2020-10-17,duval,florida,32772,147,1405,2484
1859,2020-10-18,duval,florida,32887,115,1373,2542
1860,2020-10-19,duval,florida,32951,64,1511,2855
1861,2020-10-20,duval,florida,33132,181,1487,2824
1862,2020-10-21,duval,florida,33260,128,1467,2821
1863,2020-10-22,duval,florida,33676,416,1287,2606
1864,2020-10-23,duval,florida,33946,270,1225,2492
1865,2020-10-24,duval,florida,34177,231,1079,2343
1866,2020-10-25,duval,florida,34260,83,1169,2456
1867,2020-10-26,duval,florida,34462,202,1344,2385
1868,2020-10-27,duval,florida,34619,157,1337,2413
1869,2020-10-28,duval,florida,34727,108,1354,2767
1870,2020-10-29,duval,florida,34963,236,1319,2694
1871,2020-10-30,duval,florida,35171,208,1267,2693
1872,2020-10-31,duval,florida,35256,85,1264,2742
1873,2020-11-01,duval,florida,35429,173,1287,3140
1874,2020-11-02,duval,florida,35806,377,1041,2871
1875,2020-11-03,duval,florida,35956,150,1076,3096
1876,2020-11-04,duval,florida,36081,125,1413,3224
1877,2020-11-05,duval,florida,36282,201,1375,3463
1878,2020-11-06,duval,florida,36438,156,1426,3560
1879,2020-11-07,duval,florida,36520,82,1478,3849
1880,2020-11-08,duval,florida,36716,196,1853,3868
1881,2020-11-09,duval,florida,36847,131,1830,4051
1882,2020-11-10,duval,florida,37032,185,2020,4383
1883,2020-11-11,duval,florida,37494,462,1811,4443
1884,2020-11-12,duval,florida,37657,163,2088,4280
1885,2020-11-13,duval,florida,37864,207,2134,5110
1886,2020-11-14,duval,florida,37998,134,2371,5243
1887,2020-11-15,duval,florida,38569,571,2015,5030
1888,2020-11-16,duval,florida,38677,108,2221,5301
1889,2020-11-17,duval,florida,39052,375,2363,5398
1890,2020-11-18,duval,florida,39305,253,2632,5664
1891,2020-11-19,duval,florida,39745,440,2192,5830
1892,2020-11-20,duval,florida,39998,253,2976,6114
1893,2020-11-21,duval,florida,40369,371,2872,6237
1894,2020-11-22,duval,florida,40584,215,3015,
1895,2020-11-23,duval,florida,40898,314,3080,
1896,2020-11-24,duval,florida,41415,517,3035,
1897,2020-11-25,duval,florida,41937,522,3032,
1898,2020-11-26,duval,florida,41937,0,3638,
1899,2020-11-27,duval,florida,42974,1037,3138,
1900,2020-11-28,duval,florida,43241,267,3365,
1901,2020-11-29,duval,florida,43599,358,,
1902,2020-11-30,duval,florida,43978,379,,
1903,2020-12-01,duval,florida,44450,472,,
1904,2020-12-02,duval,florida,44969,519,,
1905,2020-12-03,duval,florida,45575,606,,
1906,2020-12-04,duval,florida,46112,537,,
1907,2020-12-05,duval,florida,46606,494,,
1908,2020-03-03,wake,north carolina,1,1,5,16
1909,2020-03-04,wake,north carolina,1,0,6,16
1910,2020-03-05,wake,north carolina,1,0,7,24
1911,2020-03-06,wake,north carolina,1,0,8,24
1912,2020-03-07,wake,north carolina,1,0,10,48
1913,2020-03-08,wake,north carolina,1,0,13,48
1914,2020-03-09,wake,north carolina,6,5,9,46
1915,2020-03-10,wake,north carolina,6,0,11,48
1916,2020-03-11,wake,north carolina,7,1,10,66
1917,2020-03-12,wake,north carolina,8,1,17,75
1918,2020-03-13,wake,north carolina,9,1,16,112
1919,2020-03-14,wake,north carolina,11,2,38,113
1920,2020-03-15,wake,north carolina,14,3,35,132
1921,2020-03-16,wake,north carolina,15,1,37,151
1922,2020-03-17,wake,north carolina,17,2,37,175
1923,2020-03-18,wake,north carolina,17,0,56,178
1924,2020-03-19,wake,north carolina,25,8,58,209
1925,2020-03-20,wake,north carolina,25,0,96,233
1926,2020-03-21,wake,north carolina,49,24,75,234
1927,2020-03-22,wake,north carolina,49,0,97,255
1928,2020-03-23,wake,north carolina,52,3,114,262
1929,2020-03-24,wake,north carolina,54,2,138,282
1930,2020-03-25,wake,north carolina,73,19,122,290
1931,2020-03-26,wake,north carolina,83,10,151,288
1932,2020-03-27,wake,north carolina,121,38,137,270
1933,2020-03-28,wake,north carolina,124,3,159,300
1934,2020-03-29,wake,north carolina,146,22,158,324
1935,2020-03-30,wake,north carolina,166,20,148,310
1936,2020-03-31,wake,north carolina,192,26,144,309
1937,2020-04-01,wake,north carolina,195,3,168,315
1938,2020-04-02,wake,north carolina,234,39,137,318
1939,2020-04-03,wake,north carolina,258,24,133,308
1940,2020-04-04,wake,north carolina,283,25,141,296
1941,2020-04-05,wake,north carolina,304,21,166,288
1942,2020-04-06,wake,north carolina,314,10,162,285
1943,2020-04-07,wake,north carolina,336,22,165,275
1944,2020-04-08,wake,north carolina,363,27,147,253
1945,2020-04-09,wake,north carolina,371,8,181,255
1946,2020-04-10,wake,north carolina,391,20,175,242
1947,2020-04-11,wake,north carolina,424,33,155,221
1948,2020-04-12,wake,north carolina,470,46,122,193
1949,2020-04-13,wake,north carolina,476,6,123,195
1950,2020-04-14,wake,north carolina,501,25,110,268
1951,2020-04-15,wake,north carolina,510,9,106,278
1952,2020-04-16,wake,north carolina,552,42,74,269
1953,2020-04-17,wake,north carolina,566,14,67,273
1954,2020-04-18,wake,north carolina,579,13,66,291
1955,2020-04-19,wake,north carolina,592,13,71,282
1956,2020-04-20,wake,north carolina,599,7,72,292
1957,2020-04-21,wake,north carolina,611,12,158,308
1958,2020-04-22,wake,north carolina,616,5,172,321
1959,2020-04-23,wake,north carolina,626,10,195,335
1960,2020-04-24,wake,north carolina,633,7,206,353
1961,2020-04-25,wake,north carolina,645,12,225,368
1962,2020-04-26,wake,north carolina,663,18,211,367
1963,2020-04-27,wake,north carolina,671,8,220,377
1964,2020-04-28,wake,north carolina,769,98,150,292
1965,2020-04-29,wake,north carolina,788,19,149,292
1966,2020-04-30,wake,north carolina,821,33,140,286
1967,2020-05-01,wake,north carolina,839,18,147,304
1968,2020-05-02,wake,north carolina,870,31,143,306
1969,2020-05-03,wake,north carolina,874,4,156,338
1970,2020-05-04,wake,north carolina,891,17,157,348
1971,2020-05-05,wake,north carolina,919,28,142,353
1972,2020-05-06,wake,north carolina,937,18,143,370
1973,2020-05-07,wake,north carolina,961,24,146,384
1974,2020-05-08,wake,north carolina,986,25,157,403
1975,2020-05-09,wake,north carolina,1013,27,163,421
1976,2020-05-10,wake,north carolina,1030,17,182,418
1977,2020-05-11,wake,north carolina,1048,18,191,423
1978,2020-05-12,wake,north carolina,1061,13,211,417
1979,2020-05-13,wake,north carolina,1080,19,227,443
1980,2020-05-14,wake,north carolina,1107,27,238,497
1981,2020-05-15,wake,north carolina,1143,36,246,518
1982,2020-05-16,wake,north carolina,1176,33,258,537
1983,2020-05-17,wake,north carolina,1212,36,236,535
1984,2020-05-18,wake,north carolina,1239,27,232,534
1985,2020-05-19,wake,north carolina,1272,33,206,606
1986,2020-05-20,wake,north carolina,1307,35,216,594
