,date,county,state,total_cases,new_cases,future_delta7,future_delta14
479,2020-10-07,essex,new jersey,21682,46,566,1425
480,2020-10-08,essex,new jersey,21768,86,591,1530
481,2020-10-09,essex,new jersey,21837,69,620,1646
482,2020-10-10,essex,new jersey,21918,81,657,1921
483,2020-10-11,essex,new jersey,21989,71,720,2012
484,2020-10-12,essex,new jersey,22050,61,805,2111
485,2020-10-13,essex,new jersey,22142,92,823,2265
486,2020-10-14,essex,new jersey,22248,106,859,2437
487,2020-10-15,essex,new jersey,22359,111,939,2580
488,2020-10-16,essex,new jersey,22457,98,1026,2743
489,2020-10-17,essex,new jersey,22575,118,1264,2772
490,2020-10-18,essex,new jersey,22709,134,1292,2813
491,2020-10-19,essex,new jersey,22855,146,1306,2812
492,2020-10-20,essex,new jersey,22965,110,1442,2961
493,2020-10-21,essex,new jersey,23107,142,1578,3176
494,2020-10-22,essex,new jersey,23298,191,1641,3247
495,2020-10-23,essex,new jersey,23483,185,1717,3355
496,2020-10-24,essex,new jersey,23839,356,1508,3361
497,2020-10-25,essex,new jersey,24001,162,1521,3455
498,2020-10-26,essex,new jersey,24161,160,1506,3471
499,2020-10-27,essex,new jersey,24407,246,1519,3914
500,2020-10-28,essex,new jersey,24685,278,1598,3996
501,2020-10-29,essex,new jersey,24939,254,1606,4163
502,2020-10-30,essex,new jersey,25200,261,1638,4246
503,2020-10-31,essex,new jersey,25347,147,1853,4755
504,2020-11-01,essex,new jersey,25522,175,1934,4924
505,2020-11-02,essex,new jersey,25667,145,1965,4986
506,2020-11-03,essex,new jersey,25926,259,2395,5084
507,2020-11-04,essex,new jersey,26283,357,2398,5115
508,2020-11-05,essex,new jersey,26545,262,2557,5246
509,2020-11-06,essex,new jersey,26838,293,2608,5294
510,2020-11-07,essex,new jersey,27200,362,2902,5471
511,2020-11-08,essex,new jersey,27456,256,2990,5552
512,2020-11-09,essex,new jersey,27632,176,3021,5686
513,2020-11-10,essex,new jersey,28321,689,2689,5382
514,2020-11-11,essex,new jersey,28681,360,2717,5382
515,2020-11-12,essex,new jersey,29102,421,2689,5286
516,2020-11-13,essex,new jersey,29446,344,2686,5265
517,2020-11-14,essex,new jersey,30102,656,2569,4763
518,2020-11-15,essex,new jersey,30446,344,2562,4828
519,2020-11-16,essex,new jersey,30653,207,2665,4938
520,2020-11-17,essex,new jersey,31010,357,2693,5011
521,2020-11-18,essex,new jersey,31398,388,2665,4917
522,2020-11-19,essex,new jersey,31791,393,2597,4996
523,2020-11-20,essex,new jersey,32132,341,2579,5235
524,2020-11-21,essex,new jersey,32671,539,2194,5298
525,2020-11-22,essex,new jersey,33008,337,2266,
526,2020-11-23,essex,new jersey,33318,310,2273,
527,2020-11-24,essex,new jersey,33703,385,2318,
528,2020-11-25,essex,new jersey,34063,360,2252,
529,2020-11-26,essex,new jersey,34388,325,2399,
530,2020-11-27,essex,new jersey,34711,323,2656,
531,2020-11-28,essex,new jersey,34865,154,3104,
532,2020-11-29,essex,new jersey,35274,409,,
533,2020-11-30,essex,new jersey,35591,317,,
534,2020-12-01,essex,new jersey,36021,430,,
535,2020-12-02,essex,new jersey,36315,294,,
536,2020-12-03,essex,new jersey,36787,472,,
537,2020-12-04,essex,new jersey,37367,580,,
538,2020-12-05,essex,new jersey,37969,602,,
539,2020-01-24,cook,illinois,1,1,1,1
540,2020-01-25,cook,illinois,1,0,1,1
541,2020-01-26,cook,illinois,1,0,1,1
542,2020-01-27,cook,illinois,1,0,1,1
543,2020-01-28,cook,illinois,1,0,1,1
544,2020-01-29,cook,illinois,1,0,1,1
545,2020-01-30,cook,illinois,2,1,0,0
546,2020-01-31,cook,illinois,2,0,0,0
547,2020-02-01,cook,illinois,2,0,0,0
548,2020-02-02,cook,illinois,2,0,0,0
549,2020-02-03,cook,illinois,2,0,0,0
550,2020-02-04,cook,illinois,2,0,0,0
551,2020-02-05,cook,illinois,2,0,0,0
552,2020-02-06,cook,illinois,2,0,0,0
553,2020-02-07,cook,illinois,2,0,0,0
554,2020-02-08,cook,illinois,2,0,0,0
555,2020-02-09,cook,illinois,2,0,0,0
556,2020-02-10,cook,illinois,2,0,0,0
557,2020-02-11,cook,illinois,2,0,0,0
558,2020-02-12,cook,illinois,2,0,0,0
559,2020-02-13,cook,illinois,2,0,0,0
560,2020-02-14,cook,illinois,2,0,0,0
561,2020-02-15,cook,illinois,2,0,0,1
562,2020-02-16,cook,illinois,2,0,0,1
563,2020-02-17,cook,illinois,2,0,0,2
564,2020-02-18,cook,illinois,2,0,0,2
565,2020-02-19,cook,illinois,2,0,0,2
566,2020-02-20,cook,illinois,2,0,0,3
567,2020-02-21,cook,illinois,2,0,0,4
568,2020-02-22,cook,illinois,2,0,1,4
569,2020-02-23,cook,illinois,2,0,1,5
570,2020-02-24,cook,illinois,2,0,2,9
571,2020-02-25,cook,illinois,2,0,2,15
572,2020-02-26,cook,illinois,2,0,2,20
573,2020-02-27,cook,illinois,2,0,3,25
574,2020-02-28,cook,illinois,2,0,4,38
575,2020-02-29,cook,illinois,3,1,3,48
576,2020-03-01,cook,illinois,3,0,4,73
577,2020-03-02,cook,illinois,4,1,7,72
578,2020-03-03,cook,illinois,4,0,13,103
579,2020-03-04,cook,illinois,4,0,18,175
580,2020-03-05,cook,illinois,5,1,22,274
581,2020-03-06,cook,illinois,6,1,34,406
582,2020-03-07,cook,illinois,6,0,45,542
583,2020-03-08,cook,illinois,7,1,69,798
584,2020-03-09,cook,illinois,11,4,65,911
585,2020-03-10,cook,illinois,17,6,90,1177
586,2020-03-11,cook,illinois,22,5,157,1396
587,2020-03-12,cook,illinois,27,5,252,1877
588,2020-03-13,cook,illinois,40,13,372,2199
589,2020-03-14,cook,illinois,51,11,497,2562
590,2020-03-15,cook,illinois,76,25,729,3369
591,2020-03-16,cook,illinois,76,0,846,3651
592,2020-03-17,cook,illinois,107,31,1087,4389
593,2020-03-18,cook,illinois,179,72,1239,4973
594,2020-03-19,cook,illinois,279,100,1625,5296
595,2020-03-20,cook,illinois,412,133,1827,6061
596,2020-03-21,cook,illinois,548,136,2065,6891
597,2020-03-22,cook,illinois,805,257,2640,7238
598,2020-03-23,cook,illinois,922,117,2805,7806
599,2020-03-24,cook,illinois,1194,272,3302,8315
600,2020-03-25,cook,illinois,1418,224,3734,9102
601,2020-03-26,cook,illinois,1904,486,3671,9511
602,2020-03-27,cook,illinois,2239,335,4234,10233
603,2020-03-28,cook,illinois,2613,374,4826,10804
604,2020-03-29,cook,illinois,3445,832,4598,11140
605,2020-03-30,cook,illinois,3727,282,5001,11747
606,2020-03-31,cook,illinois,4496,769,5013,11827
607,2020-04-01,cook,illinois,5152,656,5368,12154
608,2020-04-02,cook,illinois,5575,423,5840,12512
609,2020-04-03,cook,illinois,6473,898,5999,12918
610,2020-04-04,cook,illinois,7439,966,5978,12956
611,2020-04-05,cook,illinois,8043,604,6542,13229
612,2020-04-06,cook,illinois,8728,685,6746,13373
613,2020-04-07,cook,illinois,9509,781,6814,13672
614,2020-04-08,cook,illinois,10520,1011,6786,14026
615,2020-04-09,cook,illinois,11415,895,6672,14396
616,2020-04-10,cook,illinois,12472,1057,6919,15144
617,2020-04-11,cook,illinois,13417,945,6978,15641
618,2020-04-12,cook,illinois,14585,1168,6687,15989
619,2020-04-13,cook,illinois,15474,889,6627,16479
620,2020-04-14,cook,illinois,16323,849,6858,17126
621,2020-04-15,cook,illinois,17306,983,7240,17574
622,2020-04-16,cook,illinois,18087,781,7724,18426
623,2020-04-17,cook,illinois,19391,1304,8225,19277
624,2020-04-18,cook,illinois,20395,1004,8663,19832
625,2020-04-19,cook,illinois,21272,877,9302,21052
626,2020-04-20,cook,illinois,22101,829,9852,21614
627,2020-04-21,cook,illinois,23181,1080,10268,22042
628,2020-04-22,cook,illinois,24546,1365,10334,22143
629,2020-04-23,cook,illinois,25811,1265,10702,22530
630,2020-04-24,cook,illinois,27616,1805,11052,22620
631,2020-04-25,cook,illinois,29058,1442,11169,22616
632,2020-04-26,cook,illinois,30574,1516,11750,22081
633,2020-04-27,cook,illinois,31953,1379,11762,21428
634,2020-04-28,cook,illinois,33449,1496,11774,22021
635,2020-04-29,cook,illinois,34880,1431,11809,21526
636,2020-04-30,cook,illinois,36513,1633,11828,21944
637,2020-05-01,cook,illinois,38668,2155,11568,21237
638,2020-05-02,cook,illinois,40227,1559,11447,20985
639,2020-05-03,cook,illinois,42324,2097,10331,19894
640,2020-05-04,cook,illinois,43715,1391,9666,19975
641,2020-05-05,cook,illinois,45223,1508,10247,19468
642,2020-05-06,cook,illinois,46689,1466,9717,19524
643,2020-05-07,cook,illinois,48341,1652,10116,19210
644,2020-05-08,cook,illinois,50236,1895,9669,18713
645,2020-05-09,cook,illinois,51674,1438,9538,18743
646,2020-05-10,cook,illinois,52655,981,9563,19355
