,date,county,state,fips,cases,deaths,new_cases,new_deaths,case_delta_7,death_delta_7,case_delta_14,death_delta_14
25,2020-03-26,New York City,New York,,23182,435.0,3121.0,105.0,20705.0,404.0,23086.0,435.0
26,2020-03-27,New York City,New York,,25509,560.0,2327.0,125.0,21090.0,506.0,25354.0,560.0
27,2020-03-28,New York City,New York,,30919,825.0,5410.0,265.0,24693.0,750.0,30650.0,824.0
28,2020-03-29,New York City,New York,,33983,991.0,3064.0,166.0,24918.0,872.0,33653.0,986.0
29,2020-03-30,New York City,New York,,38375,1202.0,4392.0,211.0,26046.0,1047.0,37911.0,1195.0
30,2020-03-31,New York City,New York,,43518,1475.0,5143.0,273.0,28575.0,1245.0,42872.0,1464.0
31,2020-04-01,New York City,New York,,47914,1848.0,4396.0,373.0,27853.0,1518.0,46570.0,1823.0
32,2020-04-02,New York City,New York,,52400,2152.0,4486.0,304.0,29218.0,1717.0,49923.0,2121.0
33,2020-04-03,New York City,New York,,57941,2648.0,5541.0,496.0,32432.0,2088.0,53522.0,2594.0
34,2020-04-04,New York City,New York,,64274,3221.0,6333.0,573.0,33355.0,2396.0,58048.0,3146.0
35,2020-04-05,New York City,New York,,68726,3646.0,4452.0,425.0,34743.0,2655.0,59661.0,3527.0
36,2020-04-06,New York City,New York,,73553,4857.0,4827.0,1211.0,35178.0,3655.0,61224.0,4702.0
37,2020-04-07,New York City,New York,,78498,5631.0,4945.0,774.0,34980.0,4156.0,63555.0,5401.0
38,2020-04-08,New York City,New York,,83673,6441.0,5175.0,810.0,35759.0,4593.0,63612.0,6111.0
39,2020-04-09,New York City,New York,,89127,7249.0,5454.0,808.0,36727.0,5097.0,65945.0,6814.0
40,2020-04-10,New York City,New York,,94702,7981.0,5575.0,732.0,36761.0,5333.0,69193.0,7421.0
41,2020-04-11,New York City,New York,,100840,8734.0,6138.0,753.0,36566.0,5513.0,69921.0,7909.0
42,2020-04-12,New York City,New York,,105939,9448.0,5099.0,714.0,37213.0,5802.0,71956.0,8457.0
43,2020-04-13,New York City,New York,,109706,10096.0,3767.0,648.0,36153.0,5239.0,71331.0,8894.0
44,2020-04-14,New York City,New York,,113632,10857.0,3926.0,761.0,35134.0,5226.0,70114.0,9382.0
45,2020-04-15,New York City,New York,,121653,11566.0,8021.0,709.0,37980.0,5125.0,73739.0,9718.0
46,2020-04-16,New York City,New York,,126623,12109.0,4970.0,543.0,37496.0,4860.0,74223.0,9957.0
47,2020-04-17,New York City,New York,,131003,12283.0,4380.0,174.0,36301.0,4302.0,73062.0,9635.0
48,2020-04-18,New York City,New York,,135052,12411.0,4049.0,128.0,34212.0,3677.0,70778.0,9190.0
49,2020-04-19,New York City,New York,,138370,13632.0,3318.0,1221.0,32431.0,4184.0,69644.0,9986.0
50,2020-04-20,New York City,New York,,140881,14074.0,2511.0,442.0,31175.0,3978.0,67328.0,9217.0
51,2020-04-21,New York City,New York,,143547,14513.0,2666.0,439.0,29915.0,3656.0,65049.0,8882.0
52,2020-04-22,New York City,New York,,146787,14959.0,3240.0,446.0,25134.0,3393.0,63114.0,8518.0
53,2020-04-23,New York City,New York,,150327,15361.0,3540.0,402.0,23704.0,3252.0,61200.0,8112.0
54,2020-04-24,New York City,New York,,155081,15754.0,4754.0,393.0,24078.0,3471.0,60379.0,7773.0
55,2020-04-25,New York City,New York,,159851,16146.0,4770.0,392.0,24799.0,3735.0,59011.0,7412.0
56,2020-04-26,New York City,New York,,163106,16486.0,3255.0,340.0,24736.0,2854.0,57167.0,7038.0
57,2020-04-27,New York City,New York,,165463,16821.0,2357.0,335.0,24582.0,2747.0,55757.0,6725.0
58,2020-04-28,New York City,New York,,167487,17206.0,2024.0,385.0,23940.0,2693.0,53855.0,6349.0
59,2020-04-29,New York City,New York,,170124,17597.0,2637.0,391.0,23337.0,2638.0,48471.0,6031.0
60,2020-04-30,New York City,New York,,172784,17809.0,2660.0,212.0,22457.0,2448.0,46161.0,5700.0
61,2020-05-01,New York City,New York,,174931,17931.0,2147.0,122.0,19850.0,2177.0,43928.0,5648.0
62,2020-05-02,New York City,New York,,177490,18021.0,2559.0,90.0,17639.0,1875.0,42438.0,5610.0
63,2020-05-03,New York City,New York,,179728,18451.0,2238.0,430.0,16622.0,1965.0,41358.0,4819.0
64,2020-05-04,New York City,New York,,181034,18580.0,1306.0,129.0,15571.0,1759.0,40153.0,4506.0
65,2020-05-05,New York City,New York,,182318,18719.0,1284.0,139.0,14831.0,1513.0,38771.0,4206.0
66,2020-05-06,New York City,New York,,183770,18993.0,1452.0,274.0,13646.0,1396.0,36983.0,4034.0
67,2020-05-07,New York City,New York,,185653,19141.0,1883.0,148.0,12869.0,1332.0,35326.0,3780.0
68,2020-05-08,New York City,New York,,187157,19210.0,1504.0,69.0,12226.0,1279.0,32076.0,3456.0
69,2020-05-09,New York City,New York,,188663,19324.0,1506.0,114.0,11173.0,1303.0,28812.0,3178.0
70,2020-05-10,New York City,New York,,189656,19436.0,993.0,112.0,9928.0,985.0,26550.0,2950.0
71,2020-05-11,New York City,New York,,190546,19563.0,890.0,127.0,9512.0,983.0,25083.0,2742.0
72,2020-05-12,New York City,New York,,191320,19736.0,774.0,173.0,9002.0,1017.0,23833.0,2530.0
73,2020-05-13,New York City,New York,,192394,19815.0,1074.0,79.0,8624.0,822.0,22270.0,2218.0
74,2020-05-14,New York City,New York,,193663,19904.0,1269.0,89.0,8010.0,763.0,20879.0,2095.0
75,2020-05-15,New York City,New York,,195472,19972.0,1809.0,68.0,8315.0,762.0,20541.0,2041.0
76,2020-05-16,New York City,New York,,196481,20071.0,1009.0,99.0,7818.0,747.0,18991.0,2050.0
77,2020-05-17,New York City,New York,,197486,20214.0,1005.0,143.0,7830.0,778.0,17758.0,1763.0
78,2020-05-18,New York City,New York,,198114,20298.0,628.0,84.0,7568.0,735.0,17080.0,1718.0
79,2020-05-19,New York City,New York,,198710,20376.0,596.0,78.0,7390.0,640.0,16392.0,1657.0
80,2020-05-20,New York City,New York,,199392,20422.0,682.0,46.0,6998.0,607.0,15622.0,1429.0
81,2020-05-21,New York City,New York,,200507,20491.0,1115.0,69.0,6844.0,587.0,14854.0,1350.0
82,2020-05-22,New York City,New York,,201298,20569.0,791.0,78.0,5826.0,597.0,14141.0,1359.0
83,2020-05-23,New York City,New York,,202062,20621.0,764.0,52.0,5581.0,550.0,13399.0,1297.0
84,2020-05-24,New York City,New York,,202931,20697.0,869.0,76.0,5445.0,483.0,13275.0,1261.0
85,2020-05-25,New York City,New York,,203569,20740.0,638.0,43.0,5455.0,442.0,13023.0,1177.0
86,2020-05-26,New York City,New York,,204111,20795.0,542.0,55.0,5401.0,419.0,12791.0,1059.0
87,2020-05-27,New York City,New York,,204781,20844.0,670.0,49.0,5389.0,422.0,12387.0,1029.0
88,2020-05-28,New York City,New York,,205854,20895.0,1073.0,51.0,5347.0,404.0,12191.0,991.0
89,2020-05-29,New York City,New York,,206800,20960.0,946.0,65.0,5502.0,391.0,11328.0,988.0
90,2020-05-30,New York City,New York,,207539,20991.0,739.0,31.0,5477.0,370.0,11058.0,920.0
91,2020-05-31,New York City,New York,,208085,21050.0,546.0,59.0,5154.0,353.0,10599.0,836.0
92,2020-06-01,New York City,New York,,208550,21090.0,465.0,40.0,4981.0,350.0,10436.0,792.0
93,2020-06-02,New York City,New York,,209195,21132.0,645.0,42.0,5084.0,337.0,10485.0,756.0
94,2020-06-03,New York City,New York,,209688,21170.0,493.0,38.0,4907.0,326.0,10296.0,748.0
95,2020-06-04,New York City,New York,,210227,21234.0,539.0,64.0,4373.0,339.0,9720.0,743.0
96,2020-06-05,New York City,New York,,210728,21262.0,501.0,28.0,3928.0,302.0,9430.0,693.0
97,2020-06-06,New York City,New York,,211274,21294.0,546.0,32.0,3735.0,303.0,9212.0,673.0
98,2020-06-07,New York City,New York,,211728,21323.0,454.0,29.0,3643.0,273.0,8797.0,626.0
99,2020-06-08,New York City,New York,,212122,21356.0,394.0,33.0,3572.0,266.0,8553.0,616.0
100,2020-06-09,New York City,New York,,212469,21396.0,347.0,40.0,3274.0,264.0,8358.0,601.0
101,2020-06-10,New York City,New York,,212884,21436.0,415.0,40.0,3196.0,266.0,8103.0,592.0
102,2020-06-11,New York City,New York,,213271,21468.0,387.0,32.0,3044.0,234.0,7417.0,573.0
103,2020-06-12,New York City,New York,,213707,21519.0,436.0,51.0,2979.0,257.0,6907.0,559.0
104,2020-06-13,New York City,New York,,214242,21551.0,535.0,32.0,2968.0,257.0,6703.0,560.0
105,2020-06-14,New York City,New York,,214627,21578.0,385.0,27.0,2899.0,255.0,6542.0,528.0
106,2020-06-15,New York City,New York,,215011,21600.0,384.0,22.0,2889.0,244.0,6461.0,510.0
107,2020-06-16,New York City,New York,,215342,21619.0,331.0,19.0,2873.0,223.0,6147.0,487.0
108,2020-06-17,New York City,New York,,215686,21645.0,344.0,26.0,2802.0,209.0,5998.0,475.0
109,2020-06-18,New York City,New York,,216013,21673.0,327.0,28.0,2742.0,205.0,5786.0,439.0
110,2020-06-19,New York City,New York,,216421,21710.0,408.0,37.0,2714.0,191.0,5693.0,448.0
111,2020-06-20,New York City,New York,,216803,21719.0,382.0,9.0,2561.0,168.0,5529.0,425.0
112,2020-06-21,New York City,New York,,217189,21753.0,386.0,34.0,2562.0,175.0,5461.0,430.0
113,2020-06-22,New York City,New York,,217487,21796.0,298.0,43.0,2476.0,196.0,5365.0,440.0
114,2020-06-23,New York City,New York,,217803,21817.0,316.0,21.0,2461.0,198.0,5334.0,421.0
115,2020-06-24,New York City,New York,,218089,21838.0,286.0,21.0,2403.0,193.0,5205.0,402.0
116,2020-06-25,New York City,New York,,218429,21856.0,340.0,18.0,2416.0,183.0,5158.0,388.0
117,2020-06-26,New York City,New York,,218799,21893.0,370.0,37.0,2378.0,183.0,5092.0,374.0
118,2020-06-27,New York City,New York,,219157,21913.0,358.0,20.0,2354.0,194.0,4915.0,362.0
119,2020-06-28,New York City,New York,,219481,21940.0,324.0,27.0,2292.0,187.0,4854.0,362.0
120,2020-06-29,New York City,New York,,219670,21941.0,189.0,1.0,2183.0,145.0,4659.0,341.0
121,2020-06-30,New York City,New York,,219844,22566.0,174.0,625.0,2041.0,749.0,4502.0,947.0
